1|
2|"disturbed"
3|"undisturbed"
4|"degraded"
5|"destroyed"
6|"protected"
10|"pondy"
11|"slightly distur"
12|"semi-disturbed"
13|"wasteland"
14|"unprotected thi"
15|"not determined"
