195|"Ipomoea alba L."
196|"Vigna marina (Burm.) Merr."
197|"Wedelia biflora (L.) DC."
198|"Glycosmis pentaphylla (Retz.) A.DC."
200|"Rothmannia exaltata (Griff.) Bremek."
201|"Capparis sepiaria L."
203|"Cycas rumphii Miq."
204|"Barringtonia asiatica (L.) Kurz"
205|"Ficus glaberrima Blume"
206|"Planchonia andamanica King"
207|"Vitex negundo L."
208|"Coldenia procumbens L."
209|"Ficus brevicuspis Miq."
210|"Leea aequata L."
211|"Glochidion andamanicum Kurz"
212|"Senna alata (L.) Roxb."
214|"Acacia sinuata (Lour.) Merr."
215|"Maesa andamanica Kurz"
216|"Distimake quinquefolius (L.) A.R. Simoes et Staples"
217|"Ipomoea pes-caprae (L.) R.Br. ssp. pes-caprae"
218|"Gyrocarpus americanus Jacq."
219|"Garcinia mangostana L."
220|"Harrisonia bennetti Hook.f."
222|"Excoecaria agallocha L."
224|"Glinus oppositifolius (L.) A.DC."
225|"Paspalum commersonii Lam."
226|"Ficus nervosa Roth."
228|"Alternanthera sessilis (L.) R.Br. ex DC."
229|"Ficus glabella Blume"
230|"Sideroxylon ferrugineum Hook. et Arn."
231|"Xylocarpus mekongensis Pierre"
232|"Actinostachys digitata (L.) Wall. ex Hook."
234|"Helixanthera coccinea (Jack.) Danser"
235|"Cansjera rheedii J.Gmelin"
236|"Avicennia officinalis L."
238|"Sarcostigma wallichii Baillon"
239|"Diospyros pilosiuscula Wallich ex G.Don"
240|"Lepisanthes rubiginosa (Roxb.) Leenh."
241|"Adenia cordifolia (Blume) Engl."
243|"Bombax insigne Wall."
244|"Aglaia wallichii Hiern"
245|"Ixora grandifolia Zoll. et Morr."
246|"Glochidion sp. ?"
248|"Antitaxis calocarpa Kurz"
250|"Actephila puberula Kurz"
251|"Trigonostemon ovalifolius J.J.S."
252|"Lasianthus wallichii Wight"
253|"Phyllochlamys spinosa Bureau"
254|"Oxyceros longiflorus (Lam.) T. Yamaz."
255|"Mimusops elengi L."
256|"Bolusiella talbotii (Rendle) Summerh. ?"
257|"Brachypterum scandens (Roxb.) Wight et Arn."
259|"Tinospora cordifolia (Willd.) Hook.f. et Thomson"
260|"Amorphophallus sp."
261|"Drypetes ovalis (J.J.S.) Pax et Hoffm."
262|"Buchanania splendens Miq."
263|"Glyptopetalum calocarpum (Kurz) Prain"
265|"Haematoxylum campechianum L."
266|"Cyperus paniceus (Rottb.) Boeck.Vahl"
268|"Ophiuros exaltatus (L.) Kuntze"
269|"Cyperus rotundus L."
270|"Sehima sulcatum A.Camus"
271|"Phyllanthus pinnatus (Wight) Webster"
272|"Memecylon umbellatum Burm.f."
273|"Premna tomentosa Willd."
274|"Vitex leucoxylon L.f."
275|"Erythrina stricta Roxb."
277|"Atalantia racemosa Wight et Arn."
278|"Tiliacora acuminata (Lam.) Miers"
279|"Ficus benghalensis L."
280|"Ficus microcarpa L.f."
281|"Sarcostemma acidum (Roxb.) Voigt"
